Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Rwanda,RWA,106.343,132.012,84.341,84.341,36.67,47.671,44.004,40.337,51.338,55.005,58.672,62.339,66.006,66.006,69.673,176.016,267.691,267.691,289.693,293.36,495.045,597.721,608.722,693.063,630.724,612.389,594.054,579.386,667.394,652.726,498.712,443.707,451.041,454.708,454.708,447.374,443.707,454.708,458.375,476.71,487.711,484.044,480.377,469.376,476.71,476.71,476.71,502.379,491.378,524.381,539.049,612.389,685.729,744.401,770.07,850.744,861.745,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Samoa,WSM,14.668,18.335,18.335,22.002,25.669,29.336,25.669,25.669,29.336,29.336,29.336,36.67,36.67,36.67,33.003,58.672,47.671,80.674,106.343,95.342,99.009,102.676,113.677,113.677,113.677,113.677,113.677,113.677,113.677,121.011,102.676,106.343,110.01,110.01,113.677,117.344,124.678,128.345,132.012,135.679,143.013,146.68,146.68,154.014,150.347,161.348,165.015,172.349,179.683,187.017,187.017,201.685,198.018,198.018,209.019,234.688,245.689,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Sao Tome and Principe,STP,11.001,11.001,11.001,7.334,11.001,11.001,11.001,11.001,14.668,14.668,14.668,11.001,11.001,14.668,18.335,18.335,29.336,29.336,33.003,33.003,40.337,44.004,47.671,55.005,51.338,55.005,51.338,51.338,47.671,47.671,47.671,47.671,47.671,47.671,47.671,47.671,47.671,47.671,47.671,47.671,47.671,51.338,58.672,66.006,73.34,77.007,84.341,84.341,84.341,91.675,99.009,102.676,113.677,113.677,113.677,113.677,121.011,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Saudi Arabia,SAU,2632.906,3516.653,6142.225,6820.62,5680.183,2119.526,4110.707,4466.406,5438.161,8045.398,16402.491,21151.256,17231.233,20568.203,21976.331,25566.324,27858.199,44381.701,50399.248,70622.753,72129.89,81198.381,96181.743,117167.984,109096.917,123464.223,147230.05,131120.919,134883.261,133511.803,88466.375,149646.603,163738.884,185638.208,174644.542,150871.381,169481.406,124105.948,115008.121,135253.628,198531.38,205172.317,219642.299,217016.727,263411.611,256899.019,283998.149,258677.514,289051.275,326333.664,359941.719,335985.208,386534.803,359677.695,413230.563,415504.103,322490.648,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Senegal,SEN,744.401,722.399,722.399,766.403,821.408,1602.479,1624.481,616.056,-179.683,388.702,1188.108,1232.112,1287.117,1404.461,1686.82,2401.885,1584.144,2079.189,2449.556,2709.913,3157.287,3109.616,2874.928,2434.888,3116.95,2475.225,2478.892,2266.206,2533.897,3490.984,2937.267,3168.288,3175.622,3274.631,3520.32,3058.278,3252.629,2790.587,2893.263,3190.29,3270.964,3560.657,3410.31,3828.348,3644.998,4107.04,2823.59,2878.595,2937.267,2291.875,4994.454,5053.126,4701.094,4935.782,5731.521,6864.624,6831.621,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14902.688,13608.237,10282.268,10161.257,9592.872,9303.179,8899.809,8221.414,8221.414,8496.439,8896.142,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Seychelles,SYC,..,..,..,7.334,7.334,7.334,7.334,7.334,7.334,7.334,29.336,33.003,44.004,47.671,55.005,58.672,80.674,84.341,77.007,121.011,95.342,99.009,84.341,99.009,99.009,150.347,165.015,201.685,198.018,234.688,150.347,172.349,172.349,183.35,201.685,198.018,234.688,341.031,432.706,509.713,572.052,634.391,539.049,550.05,737.067,689.396,733.4,641.725,693.063,524.381,443.707,326.363,421.705,330.03,487.711,491.378,605.055,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Sierra Leone,SLE,685.729,260.357,282.359,355.699,304.361,271.358,300.694,253.023,363.033,1085.432,858.078,803.073,678.395,539.049,520.714,524.381,451.041,513.38,711.398,678.395,608.722,693.063,553.717,689.396,616.056,663.727,674.728,498.712,458.375,374.034,487.711,546.383,451.041,454.708,480.377,374.034,425.372,399.703,396.036,377.701,388.702,513.38,517.047,568.385,553.717,462.042,616.056,517.047,535.382,535.382,575.719,744.401,861.745,1034.094,1140.437,905.749,931.418,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Singapore,SGP,1386.126,2086.523,2482.559,3285.632,3582.659,2416.553,462.042,2816.256,5119.132,6886.626,17836.288,16270.479,21726.975,20692.881,21426.281,23879.504,29350.668,27619.844,32474.952,35441.555,30447.101,25709.337,28400.915,33413.704,31976.24,32379.61,34103.1,31796.557,35261.872,40993.393,43490.62,44227.687,46497.56,46900.93,56794.496,37154.044,45030.76,53805.891,44191.017,46585.568,45723.823,45151.771,40491.014,20755.22,16325.484,17590.599,17025.881,5163.136,21033.912,43380.61,41770.797,30047.398,31792.89,34623.814,33905.082,38287.147,15852.441,..,..,..,..,..
